Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,Spend_Per_Item,Age_Group,Spend_Category,Recency_Category,Churn_Risk,Engagement_Score,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Spend_Rating_Ratio,High_Value,Membership_Encoded,Satisfaction_Encoded,Gender_Encoded,City_Chicago,City_Houston,City_Los Angeles,City_Miami,City_New York,City_San Francisco,Segment_At Risk,Segment_Champions,Segment_Lost,Segment_Loyal,Segment_Potential,Recency_Active,Recency_At Risk,Recency_Churned,Recency_Regular,Age_std,Total Spend_std,Items Purchased_std,Average Rating_std,Days Since Last Purchase_std,Spend_Per_Item_std,Engagement_Score_std,RFM_Score_std,Spend_Rating_Ratio_std
101,Female,29,New York,Gold,1120.2,14,4.6,1,25,Satisfied,80.01,26-30,High Spender,Regular,0,0.698,3,4,4,11,Loyal,243.52,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-0.9451520560501482,0.7601301393679355,0.3373458998387599,1.0019811499741438,-0.11835933442110627,1.6451512794207377,0.648311295680802,0.5150190511239002,0.6871266557355685
102,Male,34,Los Angeles,Silver,780.5,11,4.1,0,18,Neutral,70.95,31-35,Medium Spender,Regular,0,0.5673,4,2,3,9,Potential,190.37,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.08282563076635878,-0.17945875178664214,-0.38553817124429685,0.13947893037023135,-0.6399067612767009,0.6367300656978928,0.12252550289046403,-0.023060554527935748,-0.20381845029250023
103,Female,43,Chicago,Bronze,510.75,9,3.4,1,42,Unsatisfied,56.75,41-43,Low Spender,At Risk,1,0.2437,1,1,2,4,Lost,150.22,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.9331854670360713,-0.9255703307944351,-0.867460885299668,-1.0680241770752457,1.1482558450853377,-0.9437976644195901,-1.179267018509333,-1.3682595686575258,-0.8768465971791787
104,Male,30,San Francisco,Gold,1480.3,19,4.7,0,12,Satisfied,77.91,26-30,High Spender,Active,0,0.8984,5,5,5,15,Champions,314.96,1,2,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.7395565186868468,1.7561441508626756,1.5421526849771878,1.1744815938949273,-1.0869474128672105,1.4114112629949118,1.4544893589951389,1.5911782624275723,1.884664160432562
105,Male,27,Miami,Silver,720.4,13,4.0,1,55,Unsatisfied,55.42,26-30,Medium Spender,Churned,1,0.3835,1,3,3,7,Potential,180.1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,-1.356343130776751,-0.345691581808397,0.09638454281107432,-0.03302151355055053,2.1168439235314422,-1.0918330081559458,-0.6168733396104097,-0.5611401601797718,-0.3759728480141987
106,Female,37,Houston,Bronze,440.8,8,3.1,0,22,Neutral,55.1,36-40,Low Spender,Regular,0,0.2703,3,1,1,5,At Risk,142.19,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.699612242856263,-1.1190476429412195,-1.1084222423273535,-1.5855255088375928,-0.3418796602163611,-1.1274505344684522,-1.0722593514226997,-1.0992197658316076,-1.0114522265565145
107,Female,31,New York,Gold,1150.6,15,4.5,1,28,Satisfied,76.71,31-35,High Spender,Regular,0,0.6817,2,4,4,10,Loyal,255.69,1,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,-0.5339609813235454,0.8442146324238643,0.5783072568664455,0.829480706053362,0.10516099137414857,1.2778455393230115,0.5827389282555342,0.24597924829798226,0.8911304551779313
108,Male,35,Los Angeles,Silver,800.9,12,4.2,0,14,Neutral,66.74,31-35,Medium Spender,Active,0,0.632,5,3,3,11,Loyal,190.69,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.2884211681296602,-0.12303363144647918,-0.14457681421661125,0.3119793742910148,-0.9379338623370407,0.16813698514897632,0.38280355027787705,0.5150190511239002,-0.19845434052901997
109,Female,41,Chicago,Bronze,495.25,10,3.6,1,40,Unsatisfied,49.52,41-43,Low Spender,At Risk,1,0.3184,1,2,2,5,At Risk,137.57,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1.5219943923094685,-0.9684423585038727,-0.6264995282719824,-0.7230232892336804,0.9992422945551679,-1.7485311495427869,-0.8787605248487496,-1.0992197658316076,-1.0888965612667625
110,Male,28,San Francisco,Gold,1520.1,21,4.8,0,9,Satisfied,72.39,26-30,High Spender,Active,0,0.9789,5,5,5,15,Champions,316.69,1,2,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,-1.1507475934134497,1.866228454271425,2.024075399032559,1.3469820378157091,-1.3104677386624655,0.7970089341041725,1.7783283514941615,1.5911782624275723,1.913663878841378
